serving_strategy,rating,level
random,1,1
random,2,1
gpt,3,1
random,5,6
random,5,5
random,5,4
random,5,3
random,5,2
random,4,1
gpt,2,1
gpt,5,5
gpt,5,4
gpt,5,3
gpt,5,2
gpt,5,1
gpt,4,1
random,3,12
random,4,11
random,3,10
random,3,9
random,3,6
random,3,5
random,3,4
random,3,3
random,3,2
random,3,1
gpt,5,2
gpt,5,5
gpt,5,4
gpt,5,3
gpt,5,2
gpt,4,1
gpt,5,13
gpt,1,12
gpt,1,11
gpt,1,10
gpt,2,9
gpt,3,8
gpt,4,7
gpt,5,6
gpt,5,5
random,5,22
random,5,21
random,5,20
random,5,19
random,5,18
random,5,17
random,5,16
random,5,15
random,5,14
random,1,2
random,5,13
random,5,12
random,5,11
random,5,10
random,5,9
random,5,8
random,5,7
random,5,6
random,5,5
random,5,4
random,5,3
random,5,2
random,5,1
gpt,5,7
gpt,5,6
gpt,5,5
gpt,5,4
gpt,5,3
gpt,5,2
gpt,3,1
gpt,5,3
gpt,5,2
gpt,1,1
gpt,3,2
gpt,5,1
random,3,1
random,4,1
random,2,1
random,2,1
random,4,5
random,5,4
random,3,3
random,3,2
random,5,1
gpt,3,1
gpt,4,1
gpt,3,2
gpt,3,1
gpt,1,31
gpt,5,30
gpt,5,29
gpt,5,28
gpt,5,27
gpt,5,25
gpt,5,24
gpt,5,23
gpt,5,22
gpt,5,19
gpt,4,17
gpt,5,16
gpt,5,15
gpt,5,14
gpt,5,13
gpt,5,12
gpt,5,11
gpt,5,10
gpt,5,1
gpt,5,3
gpt,4,9
gpt,5,8
gpt,5,6
gpt,1,5
gpt,3,4
gpt,3,3
gpt,4,2
gpt,5,1
random,4,2
gpt,4,1
random,5,14
random,5,13
random,5,12
gpt,5,2
gpt,5,1
random,5,11
random,5,10
random,5,10
random,5,9
random,5,8
random,5,7
random,5,6
random,5,5
random,5,4
random,5,3
random,5,2
random,3,1
gpt,5,2
gpt,1,1
random,5,1
gpt,5,2
gpt,2,1
random,5,9
random,4,8
random,5,7
random,4,6
random,4,5
gpt,5,3
gpt,5,2
gpt,5,1
gpt,4,4
gpt,5,3
gpt,3,2
gpt,2,1
gpt,4,3
gpt,1,1
gpt,2,2
gpt,4,1
gpt,1,1
random,3,2
random,2,1
random,3,3
gpt,3,1
random,2,1
random,5,1
gpt,4,12
gpt,4,11
gpt,4,10
gpt,4,9
gpt,4,8
random,5,15
random,5,14
random,5,13
random,5,12
random,5,11
random,5,10
random,5,9
random,5,8
random,5,7
random,5,6
random,5,5
random,4,4
random,5,3
random,5,2
random,5,1
gpt,2,2
gpt,5,1
gpt,3,1
random,3,6
random,4,5
random,1,4
random,3,3
random,5,2
random,5,1
gpt,4,1
random,3,3
random,3,2
random,5,1
gpt,5,5
gpt,5,4
gpt,1,3
gpt,2,2
gpt,3,1
gpt,2,2
gpt,3,6
gpt,3,5
gpt,3,4
gpt,3,3
gpt,4,2
gpt,2,1
gpt,1,1
random,4,1
random,5,1
random,3,4
random,3,3
random,3,2
random,3,1
gpt,5,12
gpt,5,11
gpt,5,10
gpt,5,9
gpt,5,8
gpt,5,7
gpt,5,6
gpt,5,5
gpt,5,4
gpt,5,3
gpt,5,2
gpt,4,1
random,5,1
random,3,2
gpt,3,1
gpt,5,1
random,3,1
random,5,2
random,5,1
gpt,5,2
gpt,4,1
gpt,3,7
gpt,3,6
gpt,4,5
gpt,5,4
gpt,3,3
gpt,2,2
gpt,1,1
random,5,4
random,5,3
random,5,2
random,5,1
gpt,5,2
gpt,1,1
random,4,1
random,5,1
random,2,1
gpt,1,5
gpt,1,4
gpt,1,3
gpt,3,2
gpt,5,1
gpt,5,4
gpt,4,3
gpt,4,2
gpt,3,1
gpt,5,1
random,2,1
gpt,2,3
gpt,1,2
gpt,4,1
random,3,1
gpt,4,16
gpt,4,15
gpt,4,14
gpt,4,13
gpt,4,12
gpt,4,11
gpt,4,10
gpt,4,9
gpt,4,8
gpt,5,7
gpt,5,6
gpt,4,5
gpt,4,4
gpt,3,3
gpt,2,2
gpt,4,1
gpt,3,1
random,5,1
gpt,2,3
gpt,2,2
gpt,1,1
gpt,5,3
gpt,5,2
gpt,5,1
random,5,4
random,5,3
random,5,2
random,5,1
gpt,4,3
gpt,4,2
gpt,5,1
random,5,1
random,5,1
gpt,5,12
gpt,5,11
gpt,5,10
gpt,5,9
gpt,5,8
gpt,3,7
gpt,4,6
gpt,2,5
gpt,5,4
gpt,5,3
gpt,5,2
gpt,4,1
gpt,5,1
gpt,3,4
gpt,3,3
gpt,2,2
gpt,3,2
gpt,5,1
random,2,1
gpt,5,3
random,3,1
gpt,5,1
random,4,1
gpt,4,2
gpt,4,1
random,4,1
random,5,1
random,5,1
